time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
13.34,100.00,100.00,0.00,0.00,0.00,80.00,0
13.37,100.00,100.00,0.00,0.00,0.00,80.00,0
13.42,100.00,100.00,0.00,0.00,0.00,80.00,0
13.47,100.00,100.00,0.00,0.00,0.00,80.00,0
13.52,100.00,100.00,0.00,0.00,0.00,80.00,0
13.57,100.00,100.00,0.00,0.00,0.00,80.00,0
13.62,100.00,100.00,0.00,0.00,0.00,80.00,0
13.67,100.00,100.00,0.00,0.00,0.00,80.00,0
13.72,100.00,100.00,0.00,0.00,0.00,80.00,0
13.77,100.00,100.00,0.00,0.00,0.00,80.00,0
13.82,100.00,100.00,0.00,0.00,0.00,80.00,0
13.87,100.00,100.00,0.00,0.00,0.00,80.00,0
13.92,100.00,100.00,0.00,0.00,0.00,80.00,0
13.97,100.00,100.00,0.00,0.00,0.00,80.00,0
14.02,100.00,100.00,0.00,0.00,0.00,80.00,0
14.07,100.00,100.00,0.00,0.00,0.00,80.00,0
14.12,100.00,100.00,0.00,0.00,0.00,80.00,0
14.17,100.00,100.00,0.00,0.00,0.00,80.00,0
14.22,100.00,100.00,0.00,0.00,0.00,80.00,0
14.27,100.00,100.00,0.00,0.00,0.00,80.00,0
14.32,100.00,100.00,0.00,0.00,0.00,80.00,0
14.37,100.00,100.00,0.00,0.00,0.00,80.00,0
14.42,100.00,100.00,0.00,0.00,0.00,80.00,0
14.47,100.00,100.00,0.00,0.00,0.00,80.00,0
14.52,100.00,100.00,0.00,0.00,0.00,80.00,0
14.57,100.00,100.00,0.00,0.00,0.00,80.00,0
14.62,100.00,100.00,0.00,0.00,0.00,80.00,0
14.67,100.00,100.00,0.00,0.00,0.00,80.00,0
14.72,100.00,100.00,0.00,0.00,0.00,80.00,0
14.77,100.00,100.00,0.00,0.00,0.00,80.00,0
14.82,100.00,100.00,0.00,0.00,0.00,80.00,0
14.87,100.00,100.00,0.00,0.00,0.00,80.00,0
14.92,100.00,100.00,0.00,0.00,0.00,80.00,0
14.97,100.00,100.00,0.00,0.00,0.00,80.00,0
15.02,100.00,100.00,0.00,0.00,0.00,80.00,0
15.07,100.00,100.00,0.00,0.00,0.00,80.00,0
15.12,100.00,100.00,0.00,0.00,0.00,80.00,0
15.17,100.00,100.00,0.00,0.00,0.00,80.00,0
15.22,100.00,100.00,0.00,0.00,0.00,80.00,0
15.27,100.00,100.00,0.00,0.00,0.00,80.00,0
15.32,100.00,100.00,0.00,0.00,0.00,80.00,0
15.37,100.00,100.00,0.00,0.00,0.00,80.00,0
15.42,100.00,100.00,0.00,0.00,0.00,80.00,0
15.47,100.00,100.00,0.00,0.00,0.00,80.00,0
15.52,100.00,100.00,0.00,0.00,0.00,80.00,0
15.57,100.00,100.00,0.00,0.00,0.00,80.00,0
15.62,100.00,100.00,0.00,0.00,0.00,80.00,0
15.67,100.00,100.00,0.00,0.00,0.00,80.00,0
15.72,100.00,100.00,0.00,0.00,0.00,80.00,0
15.77,100.00,100.00,0.00,0.00,0.00,80.00,0
15.82,100.00,100.00,0.00,0.00,0.00,80.00,0
15.87,100.00,100.00,0.00,0.00,0.00,80.00,0
15.92,100.00,100.00,0.00,0.00,0.00,80.00,0
15.97,100.00,100.00,0.00,0.00,0.00,80.00,0
16.02,100.00,100.00,0.00,0.00,0.00,80.00,0
16.07,100.00,100.00,0.00,0.00,0.00,80.00,0
16.12,100.00,100.00,0.00,0.00,0.00,80.00,0
16.17,100.00,100.00,0.00,0.00,0.00,80.00,0
16.22,100.00,100.00,0.00,0.00,0.00,80.00,0
16.27,100.00,100.00,0.00,0.00,0.00,80.00,0
16.32,100.00,100.00,0.00,0.00,0.00,80.00,0
16.37,100.00,100.00,0.00,0.00,0.00,80.00,0
16.42,100.00,100.00,0.00,0.00,0.00,80.00,0
16.47,100.00,100.00,0.00,0.00,0.00,80.00,0
